Age,Gender,Study_Hours,Attendance,Sleep_Hours,Internet_Usage,Previous_Grade,Extra_Activities,Parental_Education,Marks,Result
21.0,M,6.0,62.0,,3.0,60.0,No,Graduate,,Pass
18.0,M,6.0,,5.0,5.0,75.0,,,78.0,Pass
20.0,F,4.0,65.0,,5.0,71.0,,Graduate,57.0,Pass
,F,2.0,55.0,6.0,5.0,93.0,No,School,65.0,Pass
24.0,M,9.0,97.0,5.0,1.0,,Yes,Postgraduate,94.0,Pass
,M,2.0,60.0,6.0,3.0,73.0,Yes,School,,Pass
,F,3.0,52.0,7.0,3.0,77.0,,Graduate,58.0,Pass
20.0,M,1.0,77.0,7.0,5.0,42.0,Yes,Graduate,46.0,
18.0,M,7.0,90.0,6.0,3.0,,Yes,Graduate,89.0,Pass
24.0,M,1.0,64.0,5.0,3.0,42.0,Yes,Postgraduate,45.0,Fail
20.0,M,9.0,,6.0,5.0,66.0,No,School,,Pass
18.0,M,1.0,91.0,6.0,4.0,41.0,No,Postgraduate,56.0,Pass
22.0,M,5.0,94.0,7.0,4.0,42.0,Yes,School,68.0,Pass
22.0,M,7.0,66.0,6.0,5.0,56.0,No,Postgraduate,85.0,Pass
,,3.0,56.0,8.0,1.0,85.0,No,,68.0,Pass
22.0,M,9.0,,8.0,3.0,78.0,No,Graduate,96.0,Pass
18.0,F,8.0,87.0,7.0,3.0,93.0,Yes,,97.0,
18.0,F,3.0,,5.0,4.0,92.0,Yes,Postgraduate,66.0,Pass
20.0,F,5.0,66.0,5.0,5.0,,Yes,School,68.0,Pass
,M,7.0,64.0,7.0,1.0,79.0,,Postgraduate,82.0,
23.0,M,4.0,85.0,5.0,5.0,58.0,Yes,Graduate,61.0,Pass
,F,5.0,77.0,4.0,4.0,58.0,Yes,Postgraduate,,Pass
24.0,M,3.0,64.0,8.0,4.0,83.0,Yes,School,64.0,Pass
21.0,F,9.0,95.0,4.0,,44.0,No,School,87.0,
,M,9.0,60.0,4.0,2.0,44.0,Yes,Postgraduate,,Pass
,F,7.0,80.0,4.0,1.0,53.0,,,85.0,Pass
24.0,F,2.0,53.0,7.0,1.0,66.0,Yes,School,58.0,
25.0,F,7.0,84.0,4.0,2.0,88.0,No,Graduate,89.0,Pass
25.0,M,7.0,83.0,6.0,,87.0,Yes,Postgraduate,90.0,Pass
17.0,F,5.0,76.0,5.0,5.0,75.0,Yes,Graduate,76.0,Pass
25.0,M,9.0,59.0,7.0,,79.0,No,,96.0,Pass
23.0,M,3.0,,6.0,,74.0,Yes,Postgraduate,77.0,Pass
25.0,M,4.0,94.0,6.0,3.0,60.0,Yes,Graduate,76.0,Pass
24.0,M,1.0,,8.0,,44.0,Yes,School,38.0,Fail
17.0,M,6.0,78.0,8.0,4.0,94.0,Yes,Graduate,82.0,Pass
24.0,,4.0,78.0,6.0,1.0,63.0,No,School,61.0,Pass
24.0,M,1.0,72.0,8.0,5.0,78.0,,Postgraduate,60.0,Pass
19.0,F,2.0,99.0,5.0,1.0,89.0,No,Graduate,79.0,Pass
17.0,,,70.0,5.0,3.0,63.0,Yes,School,64.0,Pass
,F,9.0,97.0,8.0,1.0,79.0,Yes,School,98.0,Pass
19.0,M,8.0,92.0,4.0,3.0,82.0,Yes,Postgraduate,95.0,Pass
19.0,M,7.0,59.0,6.0,2.0,85.0,Yes,Graduate,82.0,Pass
17.0,M,4.0,90.0,5.0,2.0,89.0,No,School,84.0,
,,1.0,61.0,8.0,3.0,52.0,Yes,School,50.0,Pass
,F,,79.0,8.0,5.0,77.0,No,,,Pass
25.0,M,4.0,,,5.0,84.0,Yes,Graduate,71.0,Pass
23.0,F,3.0,67.0,5.0,1.0,40.0,Yes,Graduate,59.0,Pass
25.0,M,9.0,63.0,,3.0,82.0,No,School,105.0,Pass
24.0,F,,,8.0,4.0,78.0,Yes,,74.0,Pass
18.0,M,4.0,70.0,8.0,5.0,49.0,Yes,Graduate,,Pass
17.0,F,9.0,50.0,7.0,5.0,41.0,Yes,Graduate,67.0,Pass
23.0,M,2.0,98.0,4.0,2.0,55.0,Yes,Graduate,70.0,Pass
23.0,F,,,,5.0,76.0,No,Graduate,90.0,Pass
24.0,M,4.0,64.0,5.0,5.0,55.0,,Graduate,70.0,
21.0,F,9.0,85.0,6.0,,62.0,No,Graduate,101.0,Pass
19.0,F,5.0,96.0,5.0,3.0,65.0,No,School,75.0,Pass
24.0,M,9.0,71.0,8.0,3.0,55.0,Yes,School,94.0,Pass
22.0,F,9.0,81.0,,2.0,,Yes,,94.0,Pass
19.0,M,2.0,95.0,8.0,1.0,86.0,No,Graduate,75.0,
17.0,M,9.0,82.0,8.0,5.0,80.0,,Postgraduate,102.0,Pass
19.0,M,3.0,90.0,4.0,1.0,69.0,Yes,School,70.0,Pass
21.0,F,4.0,88.0,5.0,3.0,72.0,Yes,Postgraduate,,Pass
19.0,F,1.0,72.0,,5.0,71.0,No,School,63.0,
17.0,M,1.0,92.0,8.0,,48.0,Yes,Postgraduate,54.0,Pass
21.0,M,1.0,51.0,5.0,1.0,50.0,Yes,Postgraduate,46.0,Fail
23.0,F,,51.0,5.0,4.0,76.0,,Postgraduate,,Pass
23.0,F,8.0,87.0,4.0,3.0,45.0,Yes,School,79.0,Pass
25.0,F,5.0,78.0,4.0,2.0,69.0,No,School,84.0,Pass
19.0,,5.0,95.0,8.0,2.0,79.0,Yes,Graduate,94.0,Pass
23.0,M,9.0,52.0,8.0,4.0,54.0,No,School,77.0,Pass
17.0,M,3.0,88.0,5.0,1.0,87.0,No,School,71.0,Pass
20.0,M,3.0,56.0,5.0,4.0,69.0,No,,52.0,Pass
20.0,M,7.0,85.0,7.0,4.0,57.0,No,School,73.0,
21.0,F,9.0,78.0,7.0,3.0,51.0,No,Graduate,96.0,Pass
23.0,M,6.0,86.0,6.0,5.0,94.0,,Graduate,93.0,Pass
23.0,F,2.0,98.0,8.0,,43.0,Yes,School,52.0,Pass
20.0,F,,,6.0,2.0,,No,Postgraduate,58.0,Pass
,M,2.0,72.0,6.0,2.0,,No,,46.0,Fail
19.0,F,,94.0,4.0,4.0,62.0,No,School,53.0,Pass
22.0,M,9.0,65.0,4.0,4.0,50.0,No,Graduate,,Pass
18.0,F,8.0,97.0,7.0,4.0,93.0,No,Postgraduate,104.0,
25.0,M,7.0,80.0,6.0,1.0,63.0,Yes,Graduate,84.0,Pass
21.0,M,3.0,83.0,7.0,4.0,61.0,No,Graduate,71.0,Pass
22.0,F,8.0,99.0,8.0,4.0,78.0,Yes,Postgraduate,109.0,Pass
20.0,M,2.0,50.0,5.0,5.0,54.0,No,School,52.0,Pass
23.0,F,2.0,67.0,4.0,1.0,88.0,No,Graduate,67.0,Pass
25.0,M,3.0,89.0,8.0,3.0,54.0,Yes,Postgraduate,,Pass
23.0,M,7.0,,,3.0,49.0,No,Graduate,81.0,Pass
17.0,M,,,4.0,5.0,67.0,No,Postgraduate,58.0,Pass
17.0,F,8.0,97.0,4.0,2.0,75.0,Yes,School,105.0,Pass
25.0,F,,98.0,6.0,3.0,93.0,Yes,School,102.0,Pass
25.0,M,4.0,66.0,7.0,1.0,56.0,No,,66.0,
20.0,F,5.0,93.0,8.0,2.0,75.0,Yes,Graduate,90.0,Pass
25.0,M,1.0,59.0,6.0,4.0,61.0,,School,51.0,Pass
19.0,F,4.0,69.0,,1.0,62.0,Yes,School,67.0,Pass
23.0,F,1.0,,8.0,2.0,68.0,No,School,44.0,Fail
,M,1.0,,8.0,3.0,61.0,Yes,School,46.0,Fail
24.0,M,1.0,94.0,5.0,4.0,50.0,No,Postgraduate,50.0,Pass
25.0,M,7.0,83.0,,4.0,75.0,Yes,Postgraduate,98.0,Pass
21.0,M,7.0,81.0,8.0,1.0,83.0,Yes,Graduate,97.0,
17.0,M,4.0,91.0,4.0,4.0,68.0,No,Postgraduate,74.0,Pass
19.0,F,2.0,,5.0,2.0,94.0,No,Postgraduate,57.0,Pass
24.0,F,3.0,93.0,7.0,5.0,81.0,No,Postgraduate,71.0,Pass
22.0,M,8.0,99.0,4.0,3.0,71.0,Yes,Postgraduate,103.0,Pass
24.0,M,8.0,88.0,4.0,1.0,53.0,No,Postgraduate,92.0,Pass
25.0,,6.0,69.0,7.0,5.0,57.0,,School,,Pass
20.0,F,9.0,73.0,5.0,,77.0,Yes,Graduate,103.0,Pass
17.0,M,9.0,73.0,4.0,1.0,76.0,Yes,Postgraduate,105.0,Pass
17.0,,4.0,75.0,6.0,2.0,73.0,No,,75.0,Pass
20.0,F,1.0,74.0,7.0,,84.0,No,Graduate,64.0,Pass
23.0,F,1.0,85.0,7.0,1.0,62.0,,Postgraduate,64.0,Pass
18.0,F,5.0,,8.0,5.0,71.0,Yes,Postgraduate,74.0,Pass
,F,2.0,59.0,,5.0,85.0,,Graduate,53.0,Pass
17.0,M,6.0,96.0,6.0,1.0,42.0,Yes,School,76.0,Pass
21.0,F,7.0,61.0,6.0,,94.0,Yes,School,85.0,Pass
17.0,,1.0,50.0,8.0,1.0,82.0,No,Graduate,61.0,Pass
24.0,M,6.0,99.0,,,61.0,No,,,
17.0,M,8.0,74.0,4.0,3.0,,No,School,87.0,Pass
,M,,65.0,6.0,1.0,43.0,Yes,School,62.0,Pass
18.0,F,7.0,54.0,,,52.0,No,School,68.0,Pass
18.0,M,6.0,68.0,4.0,4.0,,Yes,Postgraduate,76.0,Pass
22.0,F,4.0,53.0,7.0,3.0,68.0,Yes,Graduate,70.0,Pass
,F,7.0,55.0,8.0,5.0,79.0,,School,86.0,Pass
21.0,F,9.0,75.0,5.0,5.0,79.0,Yes,School,92.0,Pass
17.0,,,98.0,4.0,3.0,,,Graduate,99.0,Pass
17.0,F,5.0,88.0,6.0,3.0,84.0,Yes,Postgraduate,90.0,Pass
19.0,M,7.0,88.0,8.0,5.0,94.0,No,School,92.0,Pass
18.0,M,3.0,58.0,4.0,4.0,49.0,Yes,School,,Pass
21.0,M,2.0,94.0,,,52.0,Yes,Postgraduate,54.0,Pass
22.0,F,5.0,63.0,4.0,5.0,84.0,No,Graduate,85.0,Pass
23.0,F,4.0,97.0,8.0,3.0,56.0,No,School,,Pass
20.0,F,5.0,58.0,7.0,1.0,77.0,No,School,74.0,Pass
23.0,M,8.0,64.0,7.0,1.0,41.0,No,Graduate,76.0,Pass
24.0,F,4.0,86.0,6.0,3.0,56.0,No,Postgraduate,59.0,Pass
17.0,F,,,7.0,3.0,83.0,No,Graduate,,Pass
22.0,,7.0,69.0,8.0,2.0,,Yes,,73.0,Pass
24.0,F,7.0,,6.0,3.0,94.0,No,Postgraduate,79.0,Pass
21.0,F,,81.0,4.0,1.0,77.0,Yes,,98.0,Pass
20.0,M,6.0,96.0,5.0,4.0,,Yes,Postgraduate,91.0,Pass
18.0,M,8.0,70.0,4.0,3.0,44.0,,,72.0,Pass
22.0,,,90.0,8.0,2.0,64.0,,Graduate,63.0,Pass
22.0,M,1.0,68.0,6.0,4.0,48.0,Yes,Graduate,47.0,
17.0,F,6.0,78.0,4.0,2.0,67.0,,School,85.0,Pass
25.0,M,1.0,80.0,6.0,4.0,61.0,No,Graduate,60.0,Pass
22.0,F,9.0,55.0,,3.0,68.0,Yes,,91.0,Pass
19.0,M,2.0,,5.0,1.0,74.0,No,School,45.0,Fail
20.0,M,2.0,92.0,,4.0,94.0,No,School,,Pass
20.0,M,7.0,78.0,4.0,5.0,59.0,Yes,,,
19.0,F,2.0,91.0,,2.0,44.0,No,Postgraduate,49.0,Fail
19.0,F,8.0,52.0,8.0,,78.0,No,Graduate,77.0,Pass
19.0,M,6.0,50.0,8.0,2.0,,No,Postgraduate,,Pass
,F,7.0,93.0,7.0,1.0,,Yes,Graduate,97.0,Pass
23.0,M,7.0,64.0,6.0,2.0,78.0,Yes,School,88.0,Pass
20.0,,6.0,,6.0,,49.0,No,School,74.0,Pass
25.0,M,9.0,70.0,5.0,5.0,79.0,No,Postgraduate,95.0,Pass
17.0,F,9.0,95.0,7.0,,,,,103.0,
24.0,M,,80.0,,4.0,76.0,Yes,School,89.0,Pass
,,9.0,56.0,7.0,2.0,54.0,,Postgraduate,75.0,
18.0,M,3.0,66.0,7.0,3.0,48.0,No,Postgraduate,47.0,Fail
24.0,F,3.0,68.0,5.0,2.0,71.0,No,Graduate,57.0,Pass
17.0,M,1.0,88.0,6.0,3.0,62.0,Yes,Graduate,49.0,Fail
25.0,F,5.0,52.0,7.0,2.0,50.0,,Graduate,,Pass
25.0,M,4.0,79.0,7.0,2.0,52.0,No,School,62.0,Pass
,F,2.0,84.0,7.0,4.0,57.0,Yes,Postgraduate,61.0,Pass
23.0,M,9.0,78.0,4.0,3.0,88.0,No,Graduate,,Pass
19.0,M,3.0,99.0,7.0,3.0,48.0,No,Postgraduate,58.0,Pass
23.0,F,8.0,63.0,7.0,5.0,,Yes,School,,Pass
25.0,F,6.0,84.0,8.0,2.0,44.0,No,School,74.0,Pass
20.0,M,5.0,77.0,4.0,2.0,82.0,Yes,Graduate,72.0,Pass
17.0,F,1.0,79.0,7.0,,61.0,Yes,School,53.0,Pass
,M,,75.0,7.0,5.0,71.0,Yes,Postgraduate,,Pass
17.0,M,3.0,56.0,5.0,5.0,86.0,,,62.0,Pass
21.0,,,88.0,5.0,4.0,41.0,No,School,46.0,Fail
,F,5.0,80.0,4.0,3.0,60.0,No,,63.0,Pass
,M,6.0,54.0,8.0,1.0,67.0,No,School,66.0,Pass
25.0,F,2.0,84.0,4.0,4.0,91.0,Yes,Postgraduate,68.0,Pass
25.0,M,3.0,99.0,4.0,3.0,63.0,Yes,School,78.0,Pass
19.0,F,6.0,96.0,5.0,5.0,63.0,Yes,Graduate,90.0,Pass
19.0,F,,63.0,5.0,4.0,53.0,No,Graduate,54.0,
19.0,M,9.0,85.0,8.0,1.0,76.0,Yes,,106.0,Pass
20.0,F,5.0,76.0,7.0,2.0,66.0,Yes,School,72.0,Pass
,M,4.0,73.0,,4.0,63.0,No,School,64.0,Pass
22.0,M,2.0,89.0,7.0,1.0,45.0,No,School,50.0,Pass
24.0,,6.0,78.0,6.0,1.0,65.0,Yes,Graduate,73.0,Pass
17.0,M,2.0,94.0,5.0,4.0,93.0,No,Graduate,68.0,Pass
24.0,M,7.0,71.0,6.0,3.0,54.0,No,Graduate,69.0,Pass
20.0,F,3.0,57.0,6.0,4.0,68.0,No,Graduate,,
,M,9.0,64.0,5.0,5.0,75.0,Yes,Graduate,88.0,Pass
24.0,F,5.0,98.0,6.0,,49.0,Yes,Postgraduate,68.0,Pass
20.0,F,8.0,54.0,4.0,1.0,67.0,Yes,Postgraduate,89.0,Pass
22.0,M,,53.0,7.0,,90.0,Yes,School,85.0,
24.0,F,8.0,60.0,8.0,1.0,48.0,Yes,School,74.0,Pass
20.0,M,3.0,67.0,5.0,2.0,60.0,Yes,Graduate,55.0,Pass
19.0,F,3.0,,4.0,1.0,49.0,Yes,School,67.0,Pass
25.0,F,5.0,98.0,8.0,1.0,43.0,,Postgraduate,72.0,Pass
19.0,F,3.0,79.0,8.0,4.0,93.0,No,Postgraduate,68.0,
25.0,M,8.0,64.0,8.0,4.0,43.0,No,School,85.0,Pass
18.0,F,8.0,55.0,6.0,5.0,45.0,Yes,Graduate,81.0,Pass
18.0,M,2.0,,6.0,3.0,65.0,No,Postgraduate,48.0,Fail
18.0,F,4.0,96.0,6.0,5.0,79.0,No,School,79.0,Pass
22.0,F,1.0,89.0,6.0,,55.0,Yes,Graduate,45.0,Fail
19.0,F,4.0,,4.0,5.0,47.0,Yes,School,50.0,Pass
25.0,F,4.0,92.0,6.0,4.0,67.0,Yes,Graduate,75.0,Pass
20.0,M,9.0,83.0,5.0,1.0,55.0,No,,85.0,Pass
17.0,M,3.0,76.0,8.0,1.0,77.0,No,Postgraduate,62.0,Pass
20.0,F,2.0,62.0,,5.0,88.0,Yes,Postgraduate,56.0,Pass
17.0,F,9.0,85.0,6.0,2.0,40.0,Yes,School,81.0,Pass
21.0,,9.0,76.0,8.0,3.0,58.0,No,School,90.0,Pass
20.0,M,1.0,58.0,4.0,5.0,89.0,Yes,Graduate,53.0,Pass
24.0,M,6.0,54.0,,5.0,56.0,Yes,Postgraduate,58.0,Pass
24.0,M,8.0,71.0,,3.0,88.0,No,,101.0,Pass
23.0,F,3.0,80.0,7.0,1.0,,No,Graduate,65.0,Pass
19.0,F,9.0,52.0,,1.0,83.0,Yes,Graduate,,
17.0,M,,79.0,6.0,2.0,51.0,No,Graduate,63.0,Pass
17.0,M,6.0,70.0,,5.0,45.0,,Graduate,76.0,Pass
19.0,M,1.0,84.0,8.0,3.0,46.0,Yes,Graduate,43.0,Fail
22.0,M,7.0,55.0,8.0,5.0,47.0,Yes,School,76.0,Pass
23.0,M,3.0,77.0,5.0,4.0,42.0,Yes,Postgraduate,55.0,Pass
22.0,M,7.0,81.0,5.0,5.0,88.0,Yes,Postgraduate,100.0,Pass
22.0,F,4.0,91.0,6.0,5.0,60.0,Yes,Graduate,78.0,Pass
22.0,F,9.0,86.0,7.0,4.0,47.0,Yes,Graduate,88.0,
19.0,,5.0,74.0,5.0,4.0,67.0,Yes,Graduate,,Pass
22.0,M,3.0,81.0,4.0,3.0,69.0,No,Postgraduate,67.0,Pass
24.0,M,8.0,84.0,6.0,1.0,71.0,Yes,,86.0,Pass
18.0,M,6.0,71.0,7.0,2.0,50.0,No,Graduate,70.0,Pass
21.0,F,2.0,73.0,4.0,4.0,,Yes,Postgraduate,49.0,Fail
17.0,M,3.0,88.0,8.0,1.0,89.0,Yes,Graduate,70.0,Pass
,M,,79.0,5.0,3.0,55.0,Yes,Graduate,90.0,
21.0,F,7.0,99.0,4.0,5.0,64.0,Yes,Graduate,84.0,Pass
19.0,M,6.0,81.0,,3.0,,Yes,School,95.0,Pass
20.0,F,1.0,80.0,,3.0,48.0,Yes,,43.0,Fail
19.0,F,,72.0,4.0,4.0,90.0,No,Postgraduate,98.0,Pass
17.0,M,,89.0,6.0,2.0,78.0,Yes,Postgraduate,71.0,Pass
,F,,82.0,8.0,4.0,88.0,Yes,Graduate,80.0,Pass
21.0,M,7.0,,7.0,5.0,79.0,Yes,School,91.0,Pass
22.0,F,7.0,85.0,7.0,,79.0,No,Graduate,91.0,Pass
19.0,M,3.0,73.0,5.0,5.0,42.0,No,Graduate,62.0,Pass
25.0,,4.0,80.0,7.0,4.0,55.0,Yes,Graduate,66.0,Pass
21.0,M,7.0,88.0,4.0,2.0,51.0,,School,84.0,Pass
24.0,F,,95.0,4.0,1.0,54.0,Yes,Graduate,91.0,Pass
,F,2.0,62.0,4.0,2.0,,Yes,Graduate,58.0,Pass
21.0,F,9.0,59.0,8.0,4.0,43.0,Yes,School,81.0,Pass
,M,7.0,72.0,7.0,3.0,62.0,No,Graduate,73.0,Pass
17.0,M,8.0,67.0,7.0,1.0,,Yes,Graduate,88.0,Pass
20.0,F,,81.0,4.0,3.0,78.0,No,Postgraduate,94.0,Pass
,M,6.0,82.0,5.0,2.0,82.0,No,School,95.0,Pass
23.0,F,9.0,85.0,,1.0,76.0,Yes,Postgraduate,104.0,Pass
17.0,M,4.0,77.0,7.0,4.0,52.0,,Graduate,,Pass
19.0,F,5.0,65.0,7.0,3.0,82.0,,School,86.0,Pass
18.0,M,9.0,65.0,6.0,4.0,76.0,,School,87.0,Pass
25.0,F,1.0,67.0,7.0,5.0,79.0,Yes,Graduate,51.0,
22.0,,4.0,57.0,4.0,1.0,60.0,Yes,Postgraduate,,Pass
19.0,F,7.0,91.0,8.0,3.0,,Yes,Graduate,82.0,Pass
24.0,F,9.0,65.0,7.0,2.0,68.0,Yes,School,86.0,Pass
24.0,M,6.0,60.0,7.0,2.0,88.0,,School,74.0,Pass
,F,8.0,,,2.0,50.0,No,Graduate,69.0,Pass
22.0,M,9.0,,6.0,2.0,,No,Graduate,103.0,Pass
23.0,M,4.0,61.0,7.0,3.0,89.0,Yes,Graduate,77.0,
18.0,,1.0,87.0,5.0,5.0,,Yes,Graduate,58.0,Pass
18.0,M,8.0,77.0,5.0,2.0,49.0,No,Postgraduate,79.0,Pass
17.0,M,2.0,94.0,5.0,2.0,44.0,,Postgraduate,56.0,Pass
24.0,M,1.0,66.0,8.0,2.0,64.0,Yes,Postgraduate,48.0,Fail
17.0,F,7.0,50.0,8.0,5.0,72.0,No,Postgraduate,74.0,
25.0,M,9.0,81.0,7.0,1.0,,Yes,School,88.0,Pass
22.0,M,9.0,57.0,7.0,2.0,88.0,No,,,Pass
23.0,,,89.0,7.0,2.0,,Yes,Postgraduate,69.0,Pass
23.0,F,6.0,92.0,,2.0,64.0,Yes,,83.0,Pass
19.0,M,7.0,95.0,7.0,1.0,72.0,No,School,83.0,Pass
18.0,F,9.0,73.0,4.0,2.0,,,Graduate,97.0,
25.0,M,2.0,59.0,6.0,,93.0,No,Postgraduate,62.0,Pass
24.0,M,8.0,96.0,5.0,1.0,,No,School,85.0,Pass
23.0,M,7.0,88.0,5.0,4.0,,No,School,81.0,Pass
25.0,F,4.0,88.0,4.0,4.0,64.0,Yes,School,75.0,Pass
20.0,M,2.0,59.0,7.0,,43.0,No,School,35.0,Fail
20.0,F,8.0,85.0,8.0,3.0,48.0,Yes,Postgraduate,90.0,Pass
17.0,,5.0,74.0,7.0,,85.0,Yes,School,78.0,Pass
24.0,M,6.0,99.0,7.0,4.0,54.0,No,Postgraduate,72.0,Pass
19.0,F,7.0,59.0,5.0,3.0,55.0,No,School,78.0,Pass
23.0,F,1.0,68.0,5.0,5.0,55.0,Yes,Postgraduate,38.0,Fail
18.0,F,8.0,95.0,8.0,2.0,52.0,,Postgraduate,89.0,Pass
18.0,F,4.0,94.0,5.0,5.0,53.0,No,Graduate,72.0,Pass
23.0,F,9.0,64.0,7.0,5.0,61.0,Yes,Postgraduate,87.0,Pass
22.0,M,1.0,65.0,4.0,1.0,60.0,Yes,Graduate,44.0,Fail
19.0,F,2.0,51.0,8.0,1.0,,No,School,47.0,Fail
25.0,,6.0,78.0,4.0,2.0,94.0,Yes,Graduate,93.0,Pass
22.0,M,1.0,,7.0,3.0,80.0,Yes,Postgraduate,43.0,Fail
22.0,M,4.0,99.0,8.0,1.0,,Yes,,85.0,Pass
,M,8.0,78.0,4.0,4.0,43.0,Yes,School,70.0,Pass
20.0,M,5.0,80.0,8.0,2.0,49.0,Yes,Graduate,58.0,Pass
22.0,M,9.0,66.0,7.0,5.0,74.0,Yes,Postgraduate,86.0,Pass
22.0,F,6.0,59.0,8.0,2.0,92.0,Yes,Postgraduate,84.0,Pass
,F,1.0,76.0,7.0,1.0,48.0,Yes,School,55.0,
17.0,F,,90.0,,3.0,90.0,Yes,School,91.0,Pass
24.0,M,6.0,64.0,8.0,,,,Graduate,86.0,Pass
21.0,F,6.0,93.0,5.0,3.0,,No,School,72.0,Pass
21.0,F,8.0,80.0,7.0,2.0,88.0,No,Postgraduate,108.0,Pass
23.0,F,,70.0,6.0,3.0,57.0,No,Graduate,68.0,Pass
20.0,M,5.0,90.0,8.0,3.0,49.0,,Graduate,62.0,Pass
22.0,F,,95.0,4.0,2.0,60.0,Yes,Graduate,60.0,Pass
20.0,M,4.0,94.0,5.0,5.0,90.0,Yes,Graduate,91.0,Pass
19.0,F,5.0,,5.0,3.0,93.0,,School,77.0,Pass
23.0,M,4.0,87.0,8.0,3.0,54.0,,Graduate,57.0,Pass
24.0,M,2.0,85.0,6.0,2.0,54.0,No,Graduate,47.0,Fail
20.0,M,7.0,66.0,5.0,4.0,50.0,Yes,Graduate,83.0,Pass
18.0,F,2.0,52.0,7.0,3.0,79.0,No,Postgraduate,63.0,Pass
,,1.0,63.0,,1.0,93.0,No,Postgraduate,69.0,
17.0,M,5.0,98.0,8.0,5.0,87.0,No,School,81.0,Pass
,F,1.0,62.0,6.0,3.0,81.0,Yes,Postgraduate,,Pass
19.0,M,1.0,90.0,7.0,2.0,80.0,No,Postgraduate,,Pass
23.0,M,1.0,76.0,7.0,1.0,86.0,Yes,School,55.0,Pass
21.0,F,6.0,50.0,6.0,2.0,93.0,Yes,School,84.0,Pass
21.0,F,,66.0,4.0,3.0,,No,Graduate,99.0,Pass
23.0,F,1.0,97.0,7.0,1.0,59.0,No,Graduate,58.0,Pass
25.0,M,5.0,99.0,4.0,5.0,73.0,No,,75.0,Pass
21.0,M,9.0,83.0,4.0,5.0,61.0,Yes,Graduate,91.0,Pass
17.0,F,9.0,63.0,8.0,5.0,87.0,Yes,,88.0,
17.0,M,1.0,66.0,8.0,4.0,57.0,No,Graduate,54.0,Pass
